Gender,Age at which Loan was Taken,Year of Application,A-levels,Education,Employment type,Current Employment Sector,Proposed Business Sector,Current Annual Income,Total Capital,Address,Refree Present,Refree 1,Refree 2,Refree 3,Loan Payment Failure
D,48,2010,69,STEM,Contractual,Civil,Agriculture,23330,37454,PQR,0,NA,NA,NA,1
P,43,2001,82,STEM,Contractual,IT,Finance,119272,26341,GHI,0,NA,NA,NA,1
P,48,2020,65,Business,Self Business,IT,Civil,96216,47833,PQR,0,NA,NA,NA,1
Q,47,2021,72,Business,Self Business,Civil,Civil,121426,50573,MNP,1,Salaried:138418,Contractual:147446,Contractual:95674,1
C,40,2019,51,Law,Salaried,Agriculture,Agriculture,55460,21712,TUK,0,NA,NA,NA,0
P,50,2023,90,Law,Self Business,IT,IT,138332,36932,XYZ,0,NA,NA,NA,1
C,44,2022,85,Law,Contractual,Finance,IT,138199,58730,GHI,1,Self Business:58820,Salaried:98775,Salaried:126014,0
D,41,2018,71,Law,Self Business,Civil,Civil,72312,77649,GHI,0,NA,NA,NA,0
C,46,2014,77,Law,Salaried,Agriculture,IT,146803,26906,XYZ,0,NA,NA,NA,0
C,46,2014,78,Arts,Salaried,Finance,Agriculture,129913,62382,MNP,0,NA,NA,NA,0
D,44,2018,40,Business,Salaried,IT,Finance,65275,49236,PQR,1,Contractual:136199,Contractual:138344,Self Business:56621,1
Q,48,2016,41,Law,Salaried,Civil,Agriculture,130581,69990,XYZ,1,Salaried:65274,Contractual:67722,Salaried:107007,0
C,42,2022,46,Business,Salaried,Civil,IT,106577,30152,MNP,0,NA,NA,NA,0
D,50,2013,82,STEM,Self Business,IT,Civil,66025,22067,GHI,1,Contractual:57961,Contractual:43056,Self Business:90456,1
Q,46,2021,57,Law,Self Business,IT,Civil,68426,60370,MNP,1,Salaried:100690,Contractual:85770,Self Business:127786,1
P,47,2008,77,Law,Self Business,Finance,Finance,103585,75731,PQR,0,NA,NA,NA,0
P,41,2013,57,Business,Salaried,Civil,Finance,68079,39831,TUK,0,NA,NA,NA,0
D,41,2008,58,Arts,Contractual,IT,Finance,137686,38839,ABC,1,Contractual:144927,Salaried:84806,Contractual:133382,0
C,46,2013,70,Law,Contractual,Finance,Civil,100086,52748,ABC,1,Self Business:86040,Self Business:137140,Contractual:132561,1
P,48,2016,82,Business,Salaried,Finance,IT,71249,78311,GHI,0,NA,NA,NA,0
C,48,2012,73,Business,Self Business,Civil,Finance,50051,60004,ABC,0,NA,NA,NA,1
Q,42,2006,63,STEM,Self Business,Agriculture,Civil,87934,33578,MNP,1,Salaried:26005,Salaried:25107,Contractual:39184,1
P,49,2009,76,Law,Salaried,Civil,Agriculture,118887,21410,PQR,0,NA,NA,NA,0
P,42,2013,87,Law,Contractual,Agriculture,Agriculture,135321,33023,PQR,0,NA,NA,NA,1
C,48,2011,71,Business,Contractual,Finance,IT,100235,25030,XYZ,1,Contractual:40384,Contractual:93626,Self Business:81484,1
P,49,2017,83,STEM,Salaried,IT,IT,139840,23259,PQR,0,NA,NA,NA,0
P,46,2020,47,STEM,Contractual,Agriculture,IT,55498,68809,GHI,1,Self Business:132952,Self Business:116178,Salaried:61886,0
D,40,2017,56,Arts,Salaried,IT,Civil,111260,32805,GHI,1,Contractual:84408,Contractual:112960,Contractual:62665,1
Q,40,2021,84,Arts,Self Business,Agriculture,IT,121375,32875,GHI,1,Contractual:108402,Contractual:69702,Self Business:59313,1
Q,45,2016,70,Law,Salaried,Finance,Agriculture,114413,48995,ABC,0,NA,NA,NA,0
D,42,2004,52,Law,Contractual,Civil,IT,115034,42243,GHI,0,NA,NA,NA,0
Q,45,1998,77,Arts,Contractual,Finance,Agriculture,103438,65862,PQR,1,Contractual:119434,Self Business:102929,Contractual:92941,0
P,45,2002,86,Law,Self Business,Civil,IT,63698,47856,GHI,1,Self Business:36839,Self Business:36051,Salaried:39116,1
C,45,2018,49,Law,Salaried,IT,Agriculture,44727,61273,GHI,1,Contractual:125387,Contractual:117680,Self Business:88333,1
Q,42,2014,56,Law,Contractual,Civil,Agriculture,43641,23204,XYZ,1,Contractual:62936,Contractual:84332,Contractual:82921,0
Q,44,2016,84,Business,Salaried,Finance,Agriculture,101881,44701,ABC,0,NA,NA,NA,0
P,42,2004,76,Arts,Contractual,Finance,Civil,106276,70182,PQR,1,Salaried:146617,Self Business:79193,Contractual:55450,0
Q,41,2021,87,Business,Self Business,Civil,Finance,66702,64449,MNP,0,NA,NA,NA,0
P,47,2020,88,Law,Self Business,Agriculture,Civil,56692,62418,XYZ,0,NA,NA,NA,1
P,50,2006,48,Law,Salaried,Finance,Civil,64420,48614,GHI,1,Contractual:92260,Self Business:101119,Salaried:64371,1
P,40,2021,46,Arts,Contractual,Finance,Civil,148803,63909,GHI,0,NA,NA,NA,1
P,46,2003,61,Arts,Self Business,Civil,IT,58470,66384,TUK,1,Contractual:43888,Self Business:89352,Self Business:91086,0
D,49,2023,86,Law,Contractual,Finance,Agriculture,81287,77215,TUK,1,Self Business:67189,Contractual:99758,Salaried:62188,0
D,48,2002,52,Business,Contractual,IT,Agriculture,43960,24859,GHI,0,NA,NA,NA,0
C,42,2018,51,Arts,Self Business,Civil,IT,65104,67207,GHI,1,Contractual:130673,Self Business:118163,Salaried:100605,1
Q,50,2004,55,Arts,Contractual,Finance,IT,28200,64995,MNP,0,NA,NA,NA,1
Q,50,2001,87,Business,Contractual,IT,Finance,104881,56315,XYZ,0,NA,NA,NA,1
C,47,2010,84,Business,Salaried,Finance,Finance,91454,72045,MNP,0,NA,NA,NA,0
Q,48,2020,79,Business,Self Business,Finance,Civil,132484,33696,GHI,0,NA,NA,NA,1
D,50,2005,75,Arts,Self Business,Finance,Agriculture,72728,74534,TUK,1,Self Business:136140,Contractual:40391,Self Business:81294,0
P,42,2020,88,Law,Salaried,Civil,Agriculture,56772,77778,GHI,0,NA,NA,NA,0
P,50,2009,73,Business,Salaried,Civil,Civil,56289,22822,ABC,1,Self Business:75049,Contractual:100448,Self Business:99611,1
P,47,2008,46,Law,Contractual,Civil,IT,44050,53479,MNP,0,NA,NA,NA,0
Q,44,2003,85,Business,Salaried,Civil,Finance,128381,28203,PQR,0,NA,NA,NA,0
D,45,2004,68,Law,Salaried,IT,IT,146659,68082,GHI,1,Self Business:122046,Self Business:149979,Self Business:56604,0
C,41,2008,73,Business,Contractual,IT,Agriculture,111667,76628,PQR,1,Salaried:59641,Self Business:94533,Contractual:42586,0
C,40,2013,46,Arts,Contractual,Agriculture,IT,134562,52020,TUK,0,NA,NA,NA,0
P,46,2015,65,Arts,Self Business,Agriculture,Civil,68139,57185,GHI,0,NA,NA,NA,0
P,41,2017,40,Arts,Contractual,IT,Finance,142923,52224,ABC,0,NA,NA,NA,0
P,41,2014,78,Arts,Contractual,Finance,Agriculture,90566,63128,MNP,1,Salaried:30886,Self Business:38887,Contractual:39684,1
Q,45,2021,56,Law,Salaried,Finance,Civil,49003,24845,GHI,1,Self Business:38204,Contractual:22271,Self Business:40463,1
D,42,2016,75,Law,Contractual,Civil,Finance,113849,38217,PQR,0,NA,NA,NA,0
P,43,2007,55,STEM,Self Business,IT,IT,107899,30651,TUK,1,Contractual:79234,Contractual:132718,Contractual:86848,1
C,46,2016,42,Law,Contractual,IT,Civil,96114,41054,TUK,1,Salaried:94723,Salaried:83632,Contractual:139791,0
Q,47,2004,46,Arts,Self Business,IT,Civil,42253,29203,XYZ,0,NA,NA,NA,0
P,47,2003,68,STEM,Self Business,Civil,Civil,82018,35144,MNP,1,Contractual:66233,Self Business:52847,Contractual:124020,0
Q,43,2011,80,Law,Contractual,Finance,IT,53824,57228,PQR,1,Contractual:93347,Contractual:52382,Contractual:61713,1
C,42,2017,83,Business,Self Business,Finance,Civil,84160,68028,MNP,0,NA,NA,NA,0
Q,49,2013,84,Business,Self Business,Civil,Finance,56435,29259,GHI,1,Salaried:73627,Self Business:87722,Salaried:89171,0
D,40,2002,85,Law,Salaried,Finance,Agriculture,73598,76956,PQR,1,Self Business:32225,Self Business:25338,Salaried:39681,1
D,50,2021,42,STEM,Self Business,Civil,Civil,49593,70292,MNP,1,Contractual:47333,Self Business:73891,Self Business:68638,0
D,49,2013,54,STEM,Salaried,Civil,Agriculture,79203,75265,XYZ,1,Self Business:91482,Salaried:65955,Contractual:116686,0
Q,50,2021,44,Law,Self Business,Civil,Civil,65219,41530,ABC,1,Contractual:109531,Self Business:113508,Salaried:88993,1
D,40,2013,45,Law,Self Business,Finance,Civil,145633,79371,PQR,0,NA,NA,NA,0
P,40,2022,62,Arts,Salaried,Civil,Finance,109734,53364,XYZ,0,NA,NA,NA,0
P,42,2005,44,Business,Salaried,IT,Finance,81867,67388,ABC,0,NA,NA,NA,1
Q,49,2008,87,Arts,Contractual,Agriculture,IT,37598,78095,MNP,0,NA,NA,NA,1
P,49,2002,52,STEM,Self Business,IT,Civil,93861,32002,GHI,0,NA,NA,NA,1
Q,41,2001,87,STEM,Contractual,Civil,Agriculture,104784,26101,XYZ,1,Contractual:42652,Contractual:76916,Self Business:69016,0
Q,40,2002,58,Law,Self Business,Agriculture,Agriculture,140214,32602,GHI,1,Self Business:41418,Salaried:130425,Contractual:87635,0
D,48,2014,60,Business,Contractual,Agriculture,Finance,141630,68694,GHI,0,NA,NA,NA,0
D,45,2022,50,Law,Salaried,Finance,Civil,140044,20028,MNP,1,Self Business:22137,Contractual:29330,Self Business:39258,1
C,47,2001,45,Arts,Salaried,IT,Civil,124979,29883,XYZ,0,NA,NA,NA,0
P,41,2001,57,STEM,Contractual,IT,Finance,89373,28716,XYZ,0,NA,NA,NA,1
Q,45,2002,81,Business,Salaried,Agriculture,IT,142467,42805,ABC,1,Salaried:130602,Salaried:98402,Salaried:112582,1
P,46,2021,61,Business,Salaried,Agriculture,Civil,101467,78657,PQR,1,Salaried:50079,Self Business:59601,Salaried:101502,0
C,41,2014,48,Business,Self Business,Agriculture,Agriculture,110700,60707,ABC,0,NA,NA,NA,0
P,42,2022,78,STEM,Salaried,Finance,IT,49676,42932,TUK,1,Salaried:50915,Contractual:78689,Self Business:113830,0
C,44,2005,40,Arts,Contractual,IT,Finance,75804,36079,MNP,1,Self Business:89552,Self Business:111282,Self Business:67150,0
C,49,1999,74,STEM,Self Business,IT,Civil,94980,52808,PQR,1,Contractual:113910,Contractual:50195,Self Business:49219,1
P,46,2020,74,Business,Self Business,Finance,Civil,146536,71613,XYZ,1,Contractual:42458,Self Business:40851,Salaried:86773,1
P,48,2014,75,Arts,Salaried,Agriculture,IT,41000,45669,ABC,0,NA,NA,NA,0
Q,42,2001,54,STEM,Salaried,Finance,Civil,118225,25281,PQR,0,NA,NA,NA,0
P,47,2021,88,Business,Self Business,Civil,Civil,71366,26807,MNP,0,NA,NA,NA,1
Q,43,2020,55,Arts,Self Business,Finance,Civil,120181,45041,ABC,0,NA,NA,NA,1
C,43,2012,75,Business,Salaried,Finance,Finance,78028,60648,MNP,1,Self Business:70847,Contractual:115534,Salaried:133367,0
P,45,2001,59,Law,Contractual,Civil,IT,56302,41539,MNP,0,NA,NA,NA,1
P,42,2013,46,Business,Contractual,Agriculture,IT,31095,68134,MNP,0,NA,NA,NA,1
D,44,2023,89,Business,Self Business,Civil,Finance,62461,47209,PQR,1,Self Business:33982,Salaried:31894,Contractual:39333,1
P,40,2009,75,STEM,Contractual,Civil,Civil,95160,36211,TUK,0,NA,NA,NA,1
P,48,2004,52,Business,Contractual,Civil,Finance,46492,72148,ABC,0,NA,NA,NA,0
C,45,2006,53,Arts,Contractual,IT,Finance,22192,38140,GHI,1,Salaried:110831,Self Business:63822,Self Business:149603,1
D,46,2011,44,Business,Self Business,Agriculture,Agriculture,103655,63751,GHI,1,Contractual:68651,Contractual:46769,Contractual:49045,0
D,41,2001,49,Arts,Self Business,IT,Finance,43741,77366,XYZ,1,Contractual:136508,Contractual:43460,Salaried:68837,0
C,48,2003,68,Business,Salaried,Agriculture,Civil,116892,39854,TUK,1,Contractual:91078,Contractual:147038,Self Business:94755,1
D,42,2012,42,Business,Self Business,Agriculture,Civil,135148,42152,MNP,1,Salaried:143917,Self Business:59251,Salaried:49388,0
C,43,2020,75,Law,Self Business,Finance,Civil,108578,70156,MNP,1,Contractual:57128,Contractual:102855,Salaried:129225,1
P,45,2006,61,Law,Contractual,IT,Agriculture,127142,40811,ABC,1,Self Business:54789,Contractual:88164,Self Business:135296,1
Q,48,2019,70,Arts,Self Business,IT,Civil,56095,49684,MNP,1,Contractual:147973,Contractual:75120,Contractual:127013,0
P,42,1999,75,Law,Self Business,Civil,IT,61319,69489,MNP,1,Contractual:149419,Salaried:97176,Salaried:80215,1
C,40,2013,53,Arts,Salaried,Civil,Civil,40333,71601,XYZ,1,Contractual:129745,Contractual:137559,Contractual:93513,1
P,40,2020,64,Business,Self Business,Finance,Civil,133472,51379,PQR,0,NA,NA,NA,1
D,44,2020,47,STEM,Self Business,Civil,Civil,97909,58604,GHI,1,Salaried:62218,Contractual:63669,Salaried:92706,1
C,42,2019,90,Law,Self Business,IT,Civil,109616,28112,ABC,0,NA,NA,NA,0
Q,46,2010,51,Business,Self Business,Finance,Civil,93242,36808,MNP,1,Contractual:80985,Salaried:68263,Salaried:95633,0
C,43,2000,80,Business,Self Business,Finance,Finance,55059,78842,XYZ,1,Contractual:141979,Salaried:124020,Self Business:62000,0
C,43,2011,58,Law,Self Business,Finance,Agriculture,107301,27200,ABC,0,NA,NA,NA,0
Q,48,2018,70,STEM,Self Business,IT,IT,40387,56844,XYZ,1,Contractual:94293,Contractual:63429,Self Business:105127,0
P,45,2009,59,Arts,Self Business,IT,IT,43684,28159,MNP,0,NA,NA,NA,0
Q,40,2008,69,Business,Contractual,Agriculture,Agriculture,22246,74835,TUK,0,NA,NA,NA,1
Q,46,2020,45,STEM,Self Business,Civil,Civil,138618,28489,MNP,0,NA,NA,NA,0
P,44,2009,79,STEM,Self Business,Civil,Civil,60654,33650,GHI,0,NA,NA,NA,0
P,47,2011,74,Arts,Salaried,Agriculture,Finance,108513,36460,ABC,1,Salaried:47943,Contractual:91085,Salaried:60393,1
C,45,2017,61,Business,Self Business,IT,Civil,58785,59078,XYZ,0,NA,NA,NA,0
C,45,2003,65,Law,Self Business,IT,IT,132887,29211,GHI,0,NA,NA,NA,0
P,46,2017,86,STEM,Salaried,IT,Finance,74389,53175,XYZ,0,NA,NA,NA,0
P,45,2005,88,Arts,Contractual,Finance,Agriculture,112551,56842,XYZ,1,Salaried:52541,Contractual:52464,Salaried:82487,0
Q,46,2000,44,Law,Contractual,Finance,Finance,61580,73884,ABC,0,NA,NA,NA,0
P,50,2014,54,Business,Self Business,Agriculture,Agriculture,91539,62619,GHI,1,Contractual:117087,Contractual:73092,Salaried:89642,0
D,45,2016,65,Law,Contractual,Civil,Finance,130209,23118,PQR,1,Contractual:117521,Contractual:117014,Contractual:99214,1
C,40,2017,57,Business,Salaried,IT,Civil,43777,33354,PQR,1,Self Business:114788,Salaried:107381,Contractual:60492,0
P,48,2015,67,Business,Self Business,Civil,Agriculture,63136,76642,TUK,1,Contractual:142796,Self Business:94144,Self Business:99664,0
D,44,2020,66,Arts,Self Business,Agriculture,Civil,107010,23622,XYZ,1,Salaried:53933,Self Business:42607,Contractual:80722,1
Q,41,2002,54,Arts,Self Business,Civil,Agriculture,61753,38952,GHI,0,NA,NA,NA,1
C,43,2014,55,Arts,Salaried,IT,IT,51348,22547,ABC,1,Contractual:115783,Contractual:147852,Self Business:131639,0
Q,45,2021,48,Law,Self Business,Agriculture,Civil,83597,28295,TUK,0,NA,NA,NA,1
D,42,2016,67,Arts,Self Business,IT,Civil,61874,61590,ABC,0,NA,NA,NA,0
C,48,2001,87,STEM,Salaried,Civil,IT,147714,76980,XYZ,0,NA,NA,NA,1
C,46,2023,66,Business,Contractual,Civil,Agriculture,36790,78108,XYZ,0,NA,NA,NA,1
C,49,2016,66,Business,Salaried,IT,Civil,109084,74774,PQR,1,Self Business:79974,Self Business:120036,Contractual:98606,0
C,42,2002,78,Business,Salaried,Civil,IT,107706,43691,ABC,0,NA,NA,NA,1
P,44,2016,43,Arts,Salaried,Agriculture,Finance,140529,36061,PQR,0,NA,NA,NA,1
D,40,2008,63,Arts,Contractual,Agriculture,Finance,95229,39040,TUK,0,NA,NA,NA,0
C,47,2016,76,Business,Salaried,Civil,Finance,70414,67878,XYZ,0,NA,NA,NA,0
D,48,2020,73,Law,Self Business,Agriculture,IT,132630,32175,MNP,1,Salaried:144177,Self Business:91772,Self Business:78197,0
C,42,2010,44,STEM,Contractual,Civil,Civil,130950,39851,ABC,0,NA,NA,NA,0
P,43,2003,81,Arts,Contractual,Civil,Agriculture,37323,21111,XYZ,0,NA,NA,NA,1
Q,46,2020,62,STEM,Salaried,IT,IT,70329,69300,ABC,1,Contractual:73990,Self Business:146802,Self Business:95834,0
P,49,2017,50,Arts,Contractual,Civil,IT,149575,44686,ABC,1,Contractual:51458,Salaried:91429,Self Business:100693,0
P,48,2006,43,STEM,Contractual,Civil,IT,25443,67452,TUK,1,Self Business:145564,Self Business:89753,Self Business:64212,1
C,44,2008,74,STEM,Self Business,Agriculture,Agriculture,51058,54095,GHI,0,NA,NA,NA,0
C,47,2001,42,Business,Salaried,Agriculture,Agriculture,87522,54494,GHI,0,NA,NA,NA,1
C,50,2019,62,Business,Contractual,Finance,Finance,126670,21096,MNP,0,NA,NA,NA,0
P,48,2020,41,Arts,Self Business,Finance,Civil,97909,79867,TUK,1,Contractual:51295,Self Business:96278,Contractual:40811,1
Q,42,2021,84,Business,Self Business,Civil,Civil,54565,49582,TUK,1,Contractual:114431,Contractual:115156,Salaried:42957,1
Q,47,2004,60,STEM,Salaried,Civil,Finance,147144,21495,XYZ,0,NA,NA,NA,0
Q,50,2023,60,Business,Contractual,Finance,Agriculture,137897,25522,TUK,1,Contractual:32712,Salaried:34519,Salaried:39131,1
C,43,2011,83,Arts,Contractual,Civil,Finance,121297,22772,GHI,1,Self Business:89540,Salaried:119645,Salaried:77692,0
D,50,2020,76,Arts,Self Business,IT,IT,86879,57455,PQR,1,Contractual:109347,Salaried:56809,Salaried:47710,1
Q,40,2023,88,Business,Contractual,Finance,IT,133136,70491,GHI,0,NA,NA,NA,0
Q,45,2020,85,STEM,Self Business,IT,Civil,79833,77181,GHI,1,Self Business:81186,Salaried:143797,Contractual:42370,1
D,50,2014,57,Law,Salaried,Finance,IT,82185,29965,PQR,1,Salaried:99449,Salaried:85348,Contractual:72090,0
D,42,2007,51,Business,Salaried,IT,Agriculture,82428,31559,GHI,0,NA,NA,NA,1
D,46,2020,71,STEM,Self Business,Agriculture,Civil,53801,25325,ABC,1,Contractual:103399,Salaried:92539,Contractual:54216,1
D,48,2012,49,Business,Contractual,Civil,IT,98387,21232,ABC,1,Salaried:72462,Salaried:131866,Contractual:60615,1
C,41,2007,43,Law,Salaried,IT,IT,82938,40219,ABC,1,Contractual:64126,Contractual:90637,Self Business:104155,1
D,41,2001,63,Business,Self Business,Finance,Finance,98159,54902,GHI,0,NA,NA,NA,1
C,43,2002,84,STEM,Contractual,IT,Civil,57290,45169,MNP,1,Contractual:91362,Contractual:45631,Self Business:71252,1
P,42,2015,70,Arts,Contractual,Agriculture,IT,33610,31933,PQR,0,NA,NA,NA,1
C,50,2021,80,Business,Self Business,Agriculture,Agriculture,135421,64654,XYZ,0,NA,NA,NA,0
Q,42,2015,47,STEM,Salaried,IT,Agriculture,108131,30627,MNP,1,Contractual:46553,Contractual:98249,Contractual:89202,1
C,49,2020,53,Business,Self Business,Agriculture,Civil,72306,46388,PQR,1,Salaried:64776,Salaried:69331,Self Business:101583,1
P,46,1998,61,Business,Contractual,IT,Agriculture,50297,36080,ABC,1,Contractual:148743,Salaried:103722,Salaried:64418,0
P,43,2015,50,STEM,Contractual,Civil,Finance,34138,61585,PQR,1,Salaried:70163,Contractual:99404,Contractual:91421,1
C,50,2006,43,Business,Salaried,IT,IT,99021,77628,PQR,1,Contractual:37547,Salaried:24445,Contractual:40282,1
Q,45,2011,65,Business,Contractual,Civil,Finance,78346,63405,GHI,1,Contractual:113433,Contractual:119451,Contractual:126113,1
P,42,2004,66,Business,Self Business,Agriculture,IT,138100,73646,TUK,1,Contractual:135074,Self Business:127117,Contractual:49499,1
D,40,2011,48,Law,Contractual,Civil,Finance,27140,51857,ABC,0,NA,NA,NA,1
P,47,2002,64,Arts,Contractual,IT,Finance,108049,27554,MNP,0,NA,NA,NA,0
Q,50,2012,73,Business,Salaried,Finance,Finance,40338,45250,PQR,1,Contractual:51917,Contractual:128304,Self Business:121664,0
P,40,2013,86,Law,Contractual,Agriculture,IT,20965,52432,MNP,1,Contractual:61651,Self Business:83318,Salaried:87295,1
D,43,2018,83,Law,Salaried,IT,IT,126438,72445,ABC,0,NA,NA,NA,0
Q,41,2022,52,Law,Self Business,Finance,IT,147375,71851,GHI,0,NA,NA,NA,0
Q,43,2008,74,STEM,Self Business,Agriculture,Finance,104247,60801,PQR,0,NA,NA,NA,0
P,41,2016,58,Arts,Salaried,Finance,IT,144474,21547,TUK,1,Self Business:147961,Contractual:101255,Contractual:106721,1
D,50,2021,67,STEM,Contractual,Finance,Agriculture,60873,26829,ABC,0,NA,NA,NA,0
C,45,2016,71,Arts,Contractual,Agriculture,Agriculture,147380,26945,ABC,1,Contractual:109890,Salaried:145715,Contractual:85474,0
C,40,2011,64,Law,Self Business,IT,IT,56570,57941,GHI,0,NA,NA,NA,0
D,47,2014,67,Law,Self Business,IT,Finance,80336,76940,MNP,1,Contractual:85109,Contractual:80736,Contractual:89531,1
P,42,2017,64,Business,Contractual,Finance,Agriculture,130149,52408,MNP,1,Salaried:29194,Contractual:38043,Contractual:40931,1
C,43,2023,61,STEM,Salaried,IT,IT,73045,63387,TUK,1,Salaried:100328,Salaried:63254,Contractual:42796,0
D,40,2000,65,STEM,Self Business,IT,Civil,94065,49525,TUK,1,Salaried:111682,Self Business:74679,Contractual:136105,0
P,44,2004,49,Law,Salaried,Agriculture,Civil,104924,53321,MNP,1,Self Business:144711,Contractual:67712,Contractual:44284,0
C,49,2005,61,STEM,Contractual,IT,Agriculture,89456,40843,ABC,1,Contractual:109490,Contractual:96757,Contractual:40958,1
D,46,2018,42,Law,Contractual,Civil,Civil,67847,43661,PQR,1,Contractual:97175,Contractual:76456,Contractual:47750,1
Q,40,2018,47,Arts,Salaried,Agriculture,IT,76979,43653,XYZ,1,Contractual:108603,Contractual:72614,Contractual:146014,1
D,44,2012,67,Arts,Self Business,Agriculture,Finance,86101,68420,ABC,0,NA,NA,NA,1
Q,50,2021,67,Law,Self Business,Civil,Civil,69043,42356,PQR,0,NA,NA,NA,1
C,44,2006,84,Business,Salaried,Finance,Agriculture,96523,47134,XYZ,1,Salaried:57661,Contractual:53509,Contractual:60729,0
C,47,2007,51,Business,Contractual,Agriculture,Finance,50882,67181,ABC,0,NA,NA,NA,0
Q,43,2003,40,STEM,Salaried,Agriculture,Finance,47788,77365,XYZ,1,Contractual:127069,Salaried:54871,Contractual:69412,1
C,42,2001,51,STEM,Salaried,Agriculture,Agriculture,92144,25102,XYZ,0,NA,NA,NA,1
P,42,2009,59,STEM,Self Business,IT,Finance,85759,28470,ABC,1,Self Business:72531,Salaried:131319,Contractual:119911,1
P,43,2009,76,STEM,Salaried,Civil,Finance,45135,34828,GHI,1,Contractual:54894,Contractual:144954,Self Business:96790,1
P,46,1999,80,Business,Self Business,Civil,Civil,77396,45002,ABC,1,Contractual:69837,Salaried:105629,Self Business:114036,0
C,43,2022,73,Arts,Self Business,Agriculture,Civil,108920,47433,XYZ,1,Contractual:76645,Salaried:44264,Contractual:80369,0
P,44,2007,45,STEM,Contractual,IT,Agriculture,85329,20746,GHI,1,Contractual:57825,Salaried:95682,Contractual:71146,1
Q,49,2013,81,Law,Salaried,IT,Civil,149514,37689,GHI,1,Salaried:96271,Self Business:71294,Salaried:68055,0
C,49,2015,72,STEM,Contractual,Finance,IT,32552,24730,XYZ,0,NA,NA,NA,1
P,40,2009,49,Law,Salaried,IT,Finance,54942,26725,TUK,0,NA,NA,NA,0
C,44,2020,73,STEM,Self Business,Agriculture,Civil,102111,43263,GHI,1,Contractual:58773,Contractual:74659,Self Business:86996,1
P,46,2006,72,Arts,Salaried,Agriculture,Finance,142104,60583,MNP,1,Salaried:25627,Self Business:30693,Salaried:40258,1
P,45,2000,46,Law,Salaried,IT,Finance,115558,60969,GHI,0,NA,NA,NA,1
D,49,1998,87,Business,Contractual,Civil,Civil,134551,32071,TUK,0,NA,NA,NA,1
D,40,2000,72,STEM,Contractual,Finance,Civil,88861,53067,ABC,1,Contractual:106877,Contractual:62679,Salaried:120316,0
D,46,2002,45,Arts,Salaried,Agriculture,Civil,99238,62151,MNP,0,NA,NA,NA,0
Q,49,2006,68,Law,Contractual,Civil,IT,23168,33512,TUK,0,NA,NA,NA,1
C,45,2014,46,Law,Contractual,Civil,Civil,144745,38149,XYZ,0,NA,NA,NA,0
Q,46,2009,42,Arts,Self Business,Finance,IT,91582,44678,MNP,1,Contractual:120053,Contractual:127850,Self Business:100086,1
P,46,2016,49,Arts,Salaried,Finance,IT,127453,41260,ABC,0,NA,NA,NA,1
P,46,2020,48,Law,Contractual,IT,IT,20268,28977,XYZ,1,Contractual:133085,Salaried:142098,Salaried:52060,1
D,48,2021,62,Law,Self Business,Finance,Civil,146178,23087,XYZ,0,NA,NA,NA,1
D,41,1999,56,Law,Contractual,IT,Civil,44248,30570,MNP,1,Contractual:54677,Salaried:90107,Self Business:138909,0
Q,47,2006,66,STEM,Self Business,Agriculture,IT,102160,55964,PQR,0,NA,NA,NA,0
D,40,2017,88,Law,Contractual,IT,Agriculture,134434,71422,TUK,1,Salaried:48564,Salaried:143043,Self Business:114801,0
P,47,2000,56,Arts,Salaried,IT,Agriculture,66164,45319,ABC,1,Self Business:54399,Contractual:99611,Contractual:76054,0
Q,45,2010,89,Business,Self Business,Agriculture,Civil,92913,69633,PQR,0,NA,NA,NA,0
D,47,1999,76,Arts,Contractual,IT,Finance,42514,47502,TUK,1,Salaried:33706,Salaried:29307,Contractual:39168,1
Q,46,2012,69,Law,Self Business,Agriculture,Civil,139938,63610,ABC,1,Salaried:31782,Self Business:38530,Salaried:40848,1
D,42,2022,53,STEM,Salaried,Agriculture,Agriculture,104406,41923,XYZ,0,NA,NA,NA,0
P,50,1998,76,STEM,Self Business,Civil,Agriculture,75435,27427,GHI,0,NA,NA,NA,0
D,45,2004,83,Law,Contractual,Civil,Agriculture,67564,68387,MNP,0,NA,NA,NA,0
C,49,2004,89,Business,Self Business,IT,Finance,114854,67099,MNP,1,Self Business:149759,Self Business:98925,Self Business:136616,0
Q,47,2020,89,Arts,Self Business,IT,Civil,43908,31414,GHI,1,Self Business:100149,Self Business:123188,Self Business:97813,1
Q,41,2023,46,STEM,Contractual,IT,Agriculture,120668,25160,PQR,1,Salaried:148283,Salaried:103145,Self Business:72215,1
P,40,2001,56,Law,Contractual,Civil,Agriculture,128159,45959,GHI,1,Self Business:41541,Salaried:131892,Salaried:111346,1
P,46,2001,71,STEM,Salaried,Civil,Finance,47654,62710,MNP,0,NA,NA,NA,0
Q,47,2001,50,Business,Contractual,IT,Agriculture,37699,62197,MNP,1,Contractual:46589,Salaried:148265,Self Business:140405,1
D,41,2001,71,Law,Contractual,IT,IT,30869,40054,MNP,0,NA,NA,NA,1
C,46,2001,68,Arts,Contractual,Civil,IT,94487,25381,GHI,1,Contractual:84224,Self Business:62846,Self Business:104459,1
P,46,2002,89,Business,Self Business,IT,IT,86470,50564,TUK,1,Self Business:123827,Self Business:120872,Self Business:54881,0
C,40,2006,74,STEM,Contractual,Civil,IT,81294,65248,PQR,1,Salaried:45743,Contractual:43893,Contractual:125252,0
